color | eval | interest | moves
black |   +8 | low      | e6 d6 c5 b4 b5 b6 a5
black |   +8 | low      | e6 d6 c5 b4 b5 f4 c6
black |   +6 | low      | e6 d6 c5 b4 b5 f6 c4
black |   +8 | tp       | e6 d6 c5 b6 b5 b4 a5
black |  +10 | low      | e6 d6 c5 b6 b5 f4 c6
black |   +6 | low      | e6 d6 c5 b6 b5 f6 c4
black |   +8 | low      | e6 d6 c5 f4 c6 b5 c4
black |  +10 | low      | e6 d6 c5 f4 c6 b6 f5
black |  +26 | low      | e6 d6 c5 f4 c6 b7 f5
black |  +10 | low      | e6 d6 c5 f4 c6 c7 d7
black |   +6 | low      | e6 d6 c5 f4 c6 d7 f5
black |  +10 | low      | e6 d6 c5 f4 c6 e7 f6
black |   +8 | low      | e6 d6 c5 f6 c4 b3 c6
black |   +6 | low      | e6 d6 c5 f6 c4 b4 f5
black |   +6 | low      | e6 d6 c5 f6 c4 b5 c6
black |   +8 | low      | e6 d6 c5 f6 c4 c3 d3
black |   +6 | low      | e6 d6 c5 f6 c4 d3 c6
black |   +6 | low      | e6 d6 c5 f6 c4 e3 f4
black |   +4 | high     | e6 f4 c3 c4 d3 c2 f3 d6 f5
black |   +4 | high     | e6 f4 c3 c4 d3 c2 f3 f2 g4
black |   +6 | high     | e6 f4 c3 c4 d3 c2 f3 f5 f6
black |   +6 | high     | e6 f4 c3 c4 d3 c2 f3 f6 f5
black |  +14 | low      | e6 f4 c3 c4 d3 c2 f3 f7 f5
black |   +6 | mid      | e6 f4 c3 c4 d3 c6 d6
black |   +0 | high     | e6 f4 c3 c4 d3 d6 e3 c2 b3
black |   +0 | vhigh    | e6 f4 c3 c4 d3 d6 e3 d2 c2
black |   +0 | high     | e6 f4 c3 c4 d3 d6 e3 e2 d2
black |   +8 | low      | e6 f4 c3 c4 d3 d6 e3 f6 c5
black |   +8 | mid      | e6 f4 c3 c4 d3 d6 e3 f7 c5
black |   +6 | high     | e6 f4 c3 c4 d3 e2 d2 c2 g3
black |  +10 | high     | e6 f4 c3 c4 d3 e2 d2 c6 d6
black |   +2 | high     | e6 f4 c3 c4 d3 e2 d2 d6 f6
black |  +12 | low      | e6 f4 c3 c4 d3 e2 d2 e7 c5
black |  +16 | low      | e6 f4 c3 c4 d3 e2 d2 f7 d6
black |   +8 | low      | e6 f4 c3 c4 d3 e7 c5
black |  +12 | mid      | e6 f4 c3 c4 d3 f7 d6
black |   +8 | mid      | e6 f4 c3 c6 c4 b4 d3
black |  +12 | mid      | e6 f4 c3 c6 c4 d6 f6 b4 d3
black |   +4 | tp       | e6 f4 c3 c6 c4 d6 f6 d3 c5
black |   +6 | high     | e6 f4 c3 c6 c4 d6 f6 e7 f5
black |   +8 | high     | e6 f4 c3 c6 c4 d6 f6 g6 e3
black |   +8 | mid      | e6 f4 c3 c6 c4 e7 f6 b3 c5
black |  +12 | mid      | e6 f4 c3 c6 c4 e7 f6 b4 f7
black |   +6 | tp       | e6 f4 c3 c6 c4 e7 f6 d6 f5
black |   +6 | high     | e6 f4 c3 c6 c4 e7 f6 g5 e8
black |   +8 | high     | e6 f4 c3 c6 c4 e7 f6 g6 e8
black |  +16 | low      | e6 f4 c3 d6 f6 c4 c6 b2 e3
black |  +24 | low      | e6 f4 c3 d6 f6 c4 c6 b7 d3
black |   +2 | high     | e6 f4 c3 d6 f6 c4 c6 c2 e3
black |   +6 | high     | e6 f4 c3 d6 f6 c4 c6 c7 f5
black |   +2 | high     | e6 f4 c3 d6 f6 c4 c6 d7 c7
black |   +4 | high     | e6 f4 c3 d6 f6 c4 c6 e7 f5
black |   +4 | high     | e6 f4 c3 d6 f6 c4 c6 f7 d3
black |  +22 | low      | e6 f4 c3 d6 f6 c4 c6 g7 f5
black |   +4 | tp       | e6 f4 c3 d6 f6 c6 c4
black |  +28 | low      | e6 f4 c3 d6 f6 d3 c5 b2 c6
black |  +12 | mid      | e6 f4 c3 d6 f6 d3 c5 b3 c6
black |   +6 | high     | e6 f4 c3 d6 f6 d3 c5 b4 f3
black |   +6 | high     | e6 f4 c3 d6 f6 d3 c5 b6 f3
black |   +4 | high     | e6 f4 c3 d6 f6 d3 c5 c6 c4
black |   +6 | high     | e6 f4 c3 d6 f6 d3 c5 e7 c6
black |   +6 | high     | e6 f4 c3 d6 f6 d3 c5 g6 f7
black |  +26 | low      | e6 f4 c3 d6 f6 d3 c5 g7 f5
black |   +6 | high     | e6 f4 c3 d6 f6 e7 f5 c4 d7
black |   +4 | high     | e6 f4 c3 d6 f6 e7 f5 c6 c5
black |   +8 | high     | e6 f4 c3 d6 f6 e7 f5 d3 d7
black |   +6 | high     | e6 f4 c3 d6 f6 e7 f5 f7 f3
black |   +4 | high     | e6 f4 c3 d6 f6 e7 f5 g4 e3
black |   +4 | high     | e6 f4 c3 d6 f6 e7 f5 g5 e3
black |   +4 | high     | e6 f4 c3 d6 f6 e7 f5 g6 g5
black |  +12 | mid      | e6 f4 c3 d6 f6 g6 c7
black |  +26 | low      | e6 f4 c3 e7 f3 b2 d3
black |  +22 | low      | e6 f4 c3 e7 f3 c4 f5 b2 d3
black |  +10 | high     | e6 f4 c3 e7 f3 c4 f5 c2 d6
black |  +28 | low      | e6 f4 c3 e7 f3 c4 f5 g2 f6
black |   +6 | high     | e6 f4 c3 e7 f3 c4 f5 g3 d3
black |   +8 | high     | e6 f4 c3 e7 f3 c4 f5 g4 f6
black |   +6 | high     | e6 f4 c3 e7 f3 c4 f5 g5 h6
black |   +6 | high     | e6 f4 c3 e7 f3 c4 f5 g6 f6
